Semestr | Zapsáno | Známka 1 | Známka 2 | Známka 3 | Známka 4 | Se zápočtem
LS 2001/02 | 422 | 64 | 157 | 23 | 6 | 250
LS 2002/03 | 448 | 64 | 76 | 94 | 0 | 234
LS 2003/04 | 428 | 51 | 64 | 89 | 16 | 220
LS 2004/05 | 484 | 51 | 82 | 116 | 2 | 251
LS 2005/06 | 435 | 33 | 73 | 139 | 2 | 247
LS 2006/07 | 432 | 46 | 72 | 140 | 0 | 258
LS 2007/08 | 433 | 42 | 78 | 106 | 16 | 242
LS 2008/09 | 399 | 37 | 63 | 96 | 3 | 199
LS 2009/10 | 557 | 31 | 51 | 106 | 10 | 198
LS 2010/11 | 479 | 40 | 49 | 107 | 4 | 200
LS 2011/12 | 511 | 32 | 60 | 104 | 6 | 202
LS 2012/13 | 461 | 19 | 43 | 112 | 2 | 176
LS 2013/14 | 441 | 26 | 58 | 85 | 4 | 173
LS 2014/15 | 396 | 13 | 41 | 69 | 3 | 126
LS 2015/16 | 347 | 20 | 49 | 56 | 4 | 129
LS 2016/17 | 300 | 12 | 28 | 55 | 5 | 100
LS 2017/18 | 358 | 21 | 39 | 42 | 13 | 115
LS 2018/19 | 288 | 12 | 34 | 51 | 14 | 111
LS 2019/20 | 330 | 22 | 55 | 54 | 22 | 153
LS 2020/21 | 312 | 20 | 35 | 32 | 0 | 87
